,comment
10,"Wow I’m 23 and am so glad i came across this , really cleared some of the confusion i had about it . Getting ready to invest in my first stock soon w my first $100 from work, wish me luck"
11,You’re literally the only YouTuber from which I take those “smash the like button” words and they don’t annoy me but I actually pause the video and smash the like button!
12,"Graham was so good as a real estate agent, he sold himself the house."
13,"Been following you for about 3 years and really trying to learn as much as I can. You're a real inspiration and your approach to personal finance has helped me achieve a lot. I've just gotten approved by the bank to buy a 350.000$ apartment with a 20% down payment at the age of 19, and I'm so excited to start my real estate journey. Hope to become as successful as you one day! Merry Christmas"
14,"Most impressed by your $200k saving as a 20 year old and the ability to not blow the lot on a lambo! Well done, sir!"
15,20:04 for everything other than properties.
16,Major props for not increasing those peoples rent after 8 years. That's huge.
17,“Hey mom... I’m dropping out of high school to be like graham”
18,his green shirt that he wears is from target and is like 15 bucks
19,"Graham: I keep 2 million in a CD with 1.75% to keep inflation away
Inflation: Am I a joke to you? I am 10% inflation"
20,"Graham: ""Don't go absolutely crazy on the like button.""
Me: ""Too late..."""
21,"In next video please say ""what's up you girls, it's Graham here"" :P"
22,"Elon Musk's emergence as world richest man should be a  motivation to people on YouTube that are starting out that anything is possible. You will need to take major risks and invest TIME into whatever you may wanna do.  Good luck to everyone trying to get ahead in life, wish you guys nothing but the best."
23,"like button exists 
Graham: ""is for me?"""
24,"Graham 2019: I would do less riskier investments in the coming year
Also Graham 2020: Becomes an a Angel Investor"
25,"damn my man only earns 250k per month, this was like my dream per year in like 30 years lmfao"
26,WATCH WITHOUT SOUND. CHECK THE MANNERISMS. IT'S A MASTER CLASS ON TEACHING HOW TO KEEP PEOPLE'S INTEREST.
27,Wholy f*ck man. That’s impressive. Thanks for the insight.
28,"Next video on "" How you almost got bald and got your hairs back "" ."
29,"Well I always advise you do a background check up on your source before investing, Ensure You are investing through a solid foundation source to avoid losing hard earned money"
30,It’s impossible to watch these videos without absolutely destroying the like button.
31,"This video just explained the real secret of building wealth, which is investing in multiple income streams.👌"
32,Can i invest aside real estate investment
33,"You’ve doubled your wealth through one of the most volatile years in living memory - that’s awesome man and a reminder to anyone that there’s always opportunity, no matter how negative the news is! 💥💥💥"
34,I just watched your 6 million one the other day. Amazing you doubled in a year!
35,"Haven't watched a Graham Stephen video in a while, and I really enjoyed this one."
36,I'm looking forward to the update in a few years when they include more details about the angel investments.  You've done an amazing job and.sharing your knowledge is helping so many people. Like button smashed!
37,Let me ask: do you have property managers for your properties or are you just really careful with choosing tenants?
38,I jumped out of my seat when he threw that fog horn sound effect in there!
39,This video was SO helpful. This has inspired me to set a 2021 goal to hit my first million 🤔
40,"Graham:  20 cents is too much for iced coffee.
Also Graham: If I invest in a coffee business, my iced coffee will pay me.
Me:  Brilliant!!!!"
41,"Looks like you have had alot of luck. ""Being at the right place at right time"""
42,"Just imagine if you had invested more about the same time Elon Musk invested in stock, probably he might have still been the richest man in the world today,but do you know how much could be made by you equally? That's why i am still of the opinion that investing remains one of best ways to be financially big."
43,23:51 BRU!
44,"As an 18 year old, I found this video really inspiring as you laid out the complete timeline of your business ventures. Keep up the great content Graham!"
45,"""I also invested a FOGHORN into Party Horn! """
46,"all i hear is ""the sound of silence"" while watching this"
47,"""I love The location"" but now im moving house"
48,SPOILER ALERT: $13M portfolio is made up off Smashed Like Buttons.
49,I want to get to a point in my life where I can make my own coffee company instead of buying coffee
