,comment
10,That sponsor plug was genius 😂😂 putting a puppy in right when the sponsorship starts so we can’t skip over it
11,Tesla stocks have kept soaring after Tesla was added to S&P 500. No better time for one to invest in the company's stocks than now.
12,"Meanwhile in Cryptoland
BTC 10/18: $11,400
BTC 11/18: $17,700"
13,"In Switzerland, Nestlé by himself is more than 20% of the broadest index... Those are rookie numbers"
14,"""Elon Musk is a twitter and meme Lord"" Graham Stephan"
15,"Tesla: ""I am the one who knocks."""
16,Petition to get Elon on the Ice Coffee Hour
17,"I’m holding my 2,183 Tesla shares until 2030. 👍🏻"
18,"When Ramsay sees the dog:

Graham are you cheating on me?!??!?!?!?!"
19,"Me confused cuz that the into wasn't ""Hey Graham, its guys here""."
20,"2:42 ""they asked for Facebook"""
21,This is exciting news
22,Battery Day - Underwhelming for a typical investor - Momentous for anyone with an understanding of engineering
23,"“Solar, energy, battery, data, cars”. U left out manufacturing,  materials science division, shared technology with SpaceX, top talent currently and continue to want to work for Elon, FSD, insurance. Oh and tequila and red short shorts. 😜😊. Great summary Graham! One things for sure. Tesla will do what Tesla will do. Long term hold is key."
24,"Hello I keep losing while trying to invest with some online YouTube boker ,but am still trading to improve my technique  I just need a better source  to invest an earn while still trading ,any recommendation please?? greetings from  LA."
25,"I been invested in Tesla since 2013 💰life is great, delete all your debt and live below your means"
26,Tesla Stock is my biggest holding. I left a like for the YouTube algorithm.
27,S&P500 sounds like a scary robot.
28,"""4:23""
Yea i've been getting paid with t a s k s 4 c a s h . c o m
i'm making over $800 a week with them!"
29,"""1:06""
Yea i've been getting paid with t a s k s 4 c a s h . c o m
i'm making over $868 a week with them!"
30,"""1:06""
Yea i've been getting paid with t a s k s 4 c a s h . c o m
i'm making over $868 a week with them!"
31,"Graham, you think Battery Day was underwhelming?  From a manufacturing point of view Battery Day was MONUMENTAL."
32,tldw: buy TSLA calls before add and puts after add.
33,Damn didn´t know that the announcement makes a bigger difference than the actual inclusion - but yeah sounds logic!
34,Just commenting for the YouTube algorithm
35,"""2:11""
Yea i've been getting paid with t a s k s 4 c a s h . c o m
i'm making over $500 a week with them!"
36,I always feel like you're yelling at the mic.
37,This video was super interesting. Especially being an investor myself in the S&P 500
38,One of the best and most comprehensive videos ever! Love it and I have smashed the like button 😆
39,"Guys, I can see you behind that PC and saying this videos is doing great :D and we are just 2 hours in. Well you will change stock market today 😀"
