,comment,label
10,Which lie are we heaping more BS on top of today?,news
11,Medical Mafia.,news
12,Healthy or alive?  What kind of question is that?  Hard hitting reporting.,news
13,"Wanna hear a joke? ""The Experts""",news
14,First,news
15,"From this day 4th of February 2021, until the 6th of February 2021, Job2 of the Door2world Ministries who as co-inheritor with Jesus Christ and with HIS authority declares and decrees the following for ALL NON-CHRISTIANS in these United States of America and ALL other countries of this world:",news
16,#StopMedicalDisc,news
17,Bug eyed fake Dr,news
18,The virus uses a water droplet as a delivery system. The syringe is a very primitive delivery system. Why didn't we put the vaccine on the back of a stamp?,news
19,Wishing everyone a fabulous weekend ☺️,news
20,"""Why did you change your gender for the other fake accounts?""

Fake Account  ""FIIIRSSST!!!""",news
21,LIE LIE LIE LIE LIE & MORE LIE LIE LIE,news
22,Doctor Fauchi won't be asked to doctor things anymore.,news
23,Fraud..Quack,news
24,Mother Teresa SON  #FAUCI,news
25,"I don't understand how people in this comment section don't know anything about viruses.  I'm in my 60's and basic  jr high school biology taught us how viruses grow, spread and mutate.  50 years ago, my school said, to prevent illnesses: practice good hygiene and wash your hands, keep a safe distance, and wear a mask.  Simple works.",news
26,If you owe back child support will you get the 1400 stimulus check ??? They took my first stimulas check and gave me my second one. Now I'm herring there gonna take my 1400 bucks but the 1400 bucks is suppose to be the rest of the 600 can someone please tell me what's really going on please,news
27,Miss me with the mess your spewing... Dr. Fraudcie.... Have you talked with Bill Gates lately... Lol,news
28,"No one hears the Worm, the Worm always Lies . My niece works at a BIG Hospital in N Y and there are no COVID Patients .",news
29,Keep believing flock..you going to the gulags soon,news
30,"The poor fitting, ad hoc dust masks won't stop the new UK virus strain and it will take several months to vaccinate everyone with a vaccine that might not work, (e.g. resistant SA or Brazil strains), or need booster shots every few months. We need improved Hazmat Level C full face and half face respirators now. The improved respirators must include a P100 filter cartridge that screws onto the exhaust valve seat to prevent virus transmission from an infected wearer. Please use the DPA and legislation to increase production of respirators designed to prevent the spread of all COVID strains and save us from these dangerous dust masks. See Hazmat Level C: ",news
31,Thank you donald trump for your LEADERSHIP for record breaking VACCINE,news
32,"SKIP NAVIGATION
SIGN IN
#FoxNews #FoxNewsPrimetime #Bartiromo
Ex-FBI lawyer gets probation for altering document in Trump-Russia probe
42,435 views•Jan 29, 2021
2.1K
162
SHARE
SAVE
Fox News
6.82M subscribers
SUBSCRIBE
Carter Page, who was the subject of former FBI lawyer Kevin Clinesmith's altered email, reacts to the ""slap on the wrist"" Clinesmith received. Rep. Devin Nunes, R-CA, also weighed in on FBI malpractice. #FoxNews #FoxNewsPrimetime #Bartiromo
SHOW MORE
Shop the Fox News store
Fox News Proud American Long Sleeve Heather Navy / Large
$29.00
Fox News Shop
Fox News Proud American T-Shirt Sea Blue / X-Large
$25.00
Fox News Shop
Fox News Logo T-Shirt Heather Navy / Large
$25.00
Fox News Shop
TurboTax
Ad
turbotax.intuit.com
VISIT SITE
7:36
Trump leaves office facing mounting debt, devalued assets and scarcity of willing lenders
PBS NewsHour
3.5M views
1 week ago
Do Not Forget 2021 Benefits
8 benefits anyone over 55 should be getting, but most forget to claim.
Ad
learnsaving.com
VISIT SITE
Tucker: The American government is at war with its own people
Fox News
89K views
1 hour ago
New
Portnoy: Everyday people got 'cheated' in order to protect hedge funds
Fox News
236K views
11 hours ago
New
Carter Page: Ex-FBI lawyer's guilty plea is 'tip of the iceberg' in FBI wrongdoing
Fox Business
539K views
5 months ago
KT McFarland reacts to ex-FBI agent getting no jail time for altering Russia probe doc
Fox Business
4K views
1 hour ago
New
Hannity: Biden's executive orders causing 'life-changing' problems
Fox News
277K views
23 hours ago
New
IndiaTV LIVE: Farmers' Protests | Union Budget 2021 | Bengal Elections 2021 | Hindi News 24*7 LIVE
IndiaTV
6.1K watching
LIVE NOW
Charles Payne threatens to leave interview as Gasparino defends GameStop restrictions
Fox News
322K views
5 hours ago
New
Portnoy calls for people to be jailed over hedge fund scandal in scathing interview
Fox News
1.7M views
1 day ago
New
'The Five' slam Cuomo for calling his nursing home 'disaster' a 'political attack'
Fox News
157K views
4 hours ago
New
4:20
Ron Johnson on 'troubling' allegations Hunter Biden still holds Chinese investments
Fox News
222K views
16 hours ago
New
2:00
Tucker Carlson Investigates: Is Biden interfering in the Hunter probe?
Fox News
26K views
47 minutes ago
New
1:59
Critics slam Cuomo for 'embarrassing' press briefing
Fox News
127K views
8 hours ago
New
2:07:35
WATCH: Rod Rosenstein and Christopher Wray testify before Congress on Russia probe
PBS NewsHour
1.1M views
2 years ago
3:12
Jacksonville suspends firefighter accused of beating girlfriend
News4JAX
398 views
5 hours ago
New
6:31
FBI executes search warrants on former TN House Speaker Casada, other Republicans
NewsChannel 5
1.3M views
3 weeks ago
PREMIERE
Jordan Belfort on the potential 'level criminality' Robinhood engaged in
Fox News
58 waiting
Premieres 1/29/21, 11:00 PM
6:38
Greg Gutfeld: Biden is an empty vessel for the left
Fox News
57K views
4 hours ago
New
5:23
AOC claims Ted Cruz almost had her 'murdered'
Fox News
226K views
10 hours ago
New
2:26
White House fires back at NY Times for op-ed on Biden
Fox News
292K views
14 hours ago
New
SHOW MORE
1,349 Comments
SORT BY
Add a public comment...
BrentMFisher
2 hours ago
This guy should be disbarred. Unbelievable.Unacceptable. Appeal this judges decision.
346
REPLY
View 27 replies
8Mushroom
2 hours ago
The US government is so corrupt, I’m not even surprised at this point.
136
REPLY
View 5 replies
Michael Martinez
3 hours ago
Meanwhile, the meme guy's facing 10 years.
237
REPLY
View 23 replies
Jason Atkins
3 hours ago
But we are going to arrest reporters for memes
283
REPLY
View 7 replies
Mike O
2 hours ago
The judge that sentenced this FBI lawyer should lose their job.
351
REPLY
View 32 replies
Trump Jr
3 hours ago
Who didn't see that coming? Our government agencies are so corrupt now, that they cover for each other.
257
REPLY
View 29 replies
M0HAWK HMS
2 hours ago
Our whole legal system  is a joke if your poor & a slap on the wrist if your connected.
82
REPLY
View 5 replies
63 Rambler
3 hours ago
He tried to frame a private citizen for treason. For that, he himself should suffer the penalties associated with treason.
161
REPLY
View 8 replies
In the J curve
3 hours ago
THIS IS BEYOND OURTRAGEOUS!!!!!

TWO TIERED JUSTICE SYSTEM!!!!
Read more
160
REPLY
View 6 replies
Gregory Turner
2 hours ago
If it was one of us we would be put in prison for 40 years.
61
REPLY
View reply
Michael Packler
3 hours ago
Absolutely disgusting! These people do whatever they WANT whenever they want, And they wonder why people have turned there backs to the GOVERMENT..
270
REPLY
View 38 replies
Little Lion
3 hours ago
We're done.   Elites get away with everything.
90
REPLY
View 2 replies
Freddie Last
2 hours ago
“They” didn’t want him to turn on his fellow criminals.
124
REPLY
View 8 replies
Paul Nenninger
2 hours ago
OH. So if you try to imprison people you just get probation, This is why people are mad at the swamp!
63
REPLY
Anderson Wagstaff
3 hours ago
Who didn't see that coming? Our government agencies are so corrupt now, that they cover for each other.
114
REPLY
View 10 replies
Mozilla
2 hours ago
Lie to the FBI and you go to jail for years. The FBI lies about stuff and gets probation. Two tiered justice.
67
REPLY
View 2 replies
Geoff Simpkins
2 hours ago
Who didn’t see this coming? Well, he was just a Patsy for the real evildoers, anyways.
66
REPLY
View 2 replies
G Daddy
2 hours ago
This is the law of the land now. They just opened the door to spy on Americans to PERSECUTE them.
34
REPLY
Marko Goldman
2 hours ago
While Democrat judge tried to put Michael Flynn in jail for years for ""lying "" .
How corrupt is our justice system!.
34
REPLY
View reply
John Gierczak
3 hours ago
And, let us not forget, a nice cushy job at a MSM station.
55
REPLY
View reply
NO NAME
2 hours ago
Our goverment never ceases to disappoint me.
47
REPLY
Tina Pearce
3 hours ago
Thats a slap on the hand
 He should got jail.
75
REPLY
View reply
Yuki Hana
2 hours ago
I see no difference between the U.S. and a third world country.
77
REPLY
View 6 replies
ALFREZZ
2 hours ago
He asked to speak to his lawyer, his lawyer then spoke to the clintons and others and reminded them his client knows too much.... this is the result
28
REPLY
View 3 replies
Debbie
2 hours ago
Double standard Democrats, everyone knew this was going to happen once President Trump left office
30
REPLY
Cliff Bellas
2 hours ago
It would appear the word “Justice” should be stricken from our language as it no longer applies to our Country.
22
REPLY
View 2 replies
Miguel Carter
3 hours ago
Why is this even considered news we all know the swamp has flooded the world
47
REPLY
View 2 replies
Dorian Shades of gray
2 hours ago
And they wonder why we no longer have any faith in the FBI
20
REPLY
Justin Davis
3 hours ago
This is crazy one year probation for this. Why isn’t Clinton, Osama, and the Biden family being charged?!?!
118
REPLY
View 19 replies
John
2 hours ago
Swamp monsters, especially the judges.
48
REPLY
View 3 replies
Norski fromNdak
2 hours ago
He may even be given a Presidential citation by Biden.  Besides, don't ever expect to hear anything about Hunter's laptop.
39
REPLY
View 2 replies
Blade Runner
2 hours ago
If this was one of us we would get 20 years in prison!

Double standard much?
23
REPLY
View reply
St. Robert’s
2 hours ago
I guess every American can commit treason and except the same results?
31
REPLY
View reply
beth bordeaux
3 hours ago
Are you kidding me?  This is outrageous!  I’m mad at myself that I’m surprised here.  Status quo for the new fake administration
11
REPLY
Peter Menningen
2 hours ago
He needs to do Public Service in Alaska feeding the Bears.
18
REPLY
Twistar Gaming
3 hours ago
Wow.  And they want to lock people up. For sitting in pelosi Chair?
21
REPLY
so true fernandez
2 hours ago
“When God takes out the trash, don't go digging back through it. Trust Him.”...“The devil did not need to work at all when people were so willing to do his dirty work for him.”
10
REPLY
The TRUTH
3 hours ago
We need some generals for Trump. Let's get the party started.
19
REPLY
Rashad Allah
2 hours ago
another slap in OUR FACE! probably still has his law license too.
24
REPLY
View reply
Marcus Twainum
2 hours ago
FBI Lawyer: A snitch is a snitch is a...
Judge: Try to behave, you are free to go!!!
26
REPLY
Kevin Oreilly
3 hours ago
Well, at least he should pay back taxpayers for the Mueller investigation.
37
REPLY
View 13 replies
Steven Osborne
3 hours ago
American JUST-US, your not a member and will never be allowed in their club
41
REPLY
Harvey Weinstein
2 hours ago
I had to do community service for possession of marajuana paraphernalia.
16
REPLY
Rebecca Poskey
2 hours ago
Those (government officials) who knowingly promoted the Russia Hoax should have to pay that money back to Americans!
20
REPLY
View reply
B
3 hours ago
We need a CCP china elections probe into Biden, Harris, pellosi, AOC and Schumer.
27
REPLY
View 4 replies
Mason Morrow
2 hours ago
And a man got 10 years for memes.
11
REPLY
Joseph Marcus
2 hours ago
If it's okay for Joe to let kids play with his hairy legs
It's okay for the FBI to break the law..
8
REPLY
Ben Dishner
2 hours ago
Im surprised they didn't set him free altogether,  there is no justice
18
REPLY
View 5 replies
Anderson Wagstaff
3 hours ago
THE GOVERNMENT WILL PAY FOR THIS!
21
REPLY
View reply
Gary Dedderson
3 hours ago
De-Fund the FBI
19
REPLY
View 5 replies
ruru
2 hours ago
Our political system is so corrupt , especially democrats .
30
REPLY
View 6 replies
Martenson Lee
2 hours ago
Now this is BS.   He needs jail
18
REPLY
Cessna N748LT
2 hours ago
Meanwhile; if you or I make a minor mistake on our taxes: we get 15 years in federal prison. 
Let that sink in...
16
REPLY
View reply
JPheezy 757
3 hours ago
The Deepstate protects all Deepstate members
10
REPLY
Glenn Sankey
2 hours ago
HE SHOULD BE JAILED ALONG WITH THE ONES WHO GOT HIM TO DO THIS
8
REPLY
Nickel B
2 hours ago
So , whats new !!  Comey should be in prison for lying to congress !!
14
REPLY
View reply
Nick Gurr
3 hours ago
I'm shocked I tell ya I never seen this happening 🙄
8
REPLY
I vote NO to censorship
3 hours ago
THE GOVERNMENT WILL PAY FOR THIS
28
REPLY
View 7 replies
OkFixer
2 hours ago
Done on a Friday. That way the American public can forget about it by Monday. Brava!!
5
REPLY
View reply
Walter everson
2 hours ago
If one of us peasants did half of that we would be facing 15 to 20 years. BROKEN SYSTEM
16
REPLY
View 2 replies
Bogan Bob
2 hours ago
People in positions like that should be automatically disbarred and jailed.
4
REPLY
Petunia
3 hours ago
Oh, just a small crime...nothing to see here! 🤬😳. Crooks everywhere!
4
REPLY
novaguydc
2 hours ago
I am surprised that Kevin wasn’t “given” Cabinet position in the Biden regime.
4
REPLY
Dee Galando
2 hours ago (edited)
This is tragic! There is no justice now a day’s. We need to dismantle the FBI
3
REPLY
View reply
Martenson Lee
2 hours ago
It turns out FBI into a joke an absolute joke to the world
3
REPLY
Samantha Samuel
3 hours ago
I can’t believe this is happening 🤦‍♀️
9
REPLY
View reply
V Milton
2 hours ago
This judge needs to be gone. I wonder who appointed him?
5
REPLY
igotanM16
2 hours ago
They're not even hiding it anymore... Its basically the big-boy version of you not being allowed to swear while your parents cursed like truckers.
They're literally telling you: ""We're going to excuse our own crimes, and there's nothing that you can do or are going to do about it.""
REPLY
John Mills
2 hours ago
What would you expect. Swamp takes care of there own.
5
REPLY
smoothtwh
2 hours ago
If I broke the law like this guy I would have been locked away for years!!
These people should be held to a higher standard and their punishment more severe!!
3
REPLY
Charlene Bloomer
1 hour ago
This is all he gets for missing up a man's life he deserves a lot more than that
1
REPLY
Satguy 141
2 hours ago
Just as I predicted, he would get probation no fine and he would keep his law license. People said I was nuts, I guess I wasn't.
1
REPLY
esther tyrus
2 hours ago
We know where all of this corruption is coming from. God has judged it just hasn't been manifested  🙏❤
1
REPLY
Dana Church
2 hours ago
Exactly as they planned. Untouchable and we'll protected. Thank you dirty judges.
3
REPLY
YASHPHEH
3 hours ago
No jail time no fines
I wonder why?
18
REPLY
View 4 replies
fanobennemsi
2 hours ago
We have now a 2-tier law and justice system.
3
REPLY
Joe Sgariglia
2 hours ago
who will lead us out of this dark mess, God? or god's soldiers
8
REPLY
Youra Ninee
2 hours ago
Our govt is so corrupt...we need term limits for congress and federal judges! NOW
1
REPLY
Corey Cowan
2 hours ago
Wow if that was any regular person they would of done 20 years, makes me sick
3
REPLY
Dave George
2 hours ago
What justice? Corrupt government at its finest!
4
REPLY",news
33,,news
34,"Carter Page, who was the subject of former FBI lawyer Kevin Clinesmith's altered email, reacts to the ""slap on the wrist"" Clinesmith received. Rep. Devin Nunes, R-CA, also weighed in on FBI malpractice. #FoxNews #FoxNewsPrimetime #Bartiromo",news
35,This guy should be disbarred. Unbelievable.Unacceptable. Appeal this judges decision.,news
36,"The US government is so corrupt, I’m not even surprised at this point.",news
37,"Meanwhile, the meme guy's facing 10 years.",news
38,But we are going to arrest reporters for memes,news
39,The judge that sentenced this FBI lawyer should lose their job.,news
40,"Who didn't see that coming? Our government agencies are so corrupt now, that they cover for each other.",news
41,Our whole legal system  is a joke if your poor & a slap on the wrist if your connected.,news
42,"He tried to frame a private citizen for treason. For that, he himself should suffer the penalties associated with treason.",news
43,"THIS IS BEYOND OURTRAGEOUS!!!!!

TWO TIERED JUSTICE SYSTEM!!!!",news
44,If it was one of us we would be put in prison for 40 years.,news
45,"Absolutely disgusting! These people do whatever they WANT whenever they want, And they wonder why people have turned there backs to the GOVERMENT..",news
46,We're done.   Elites get away with everything.,news
47,“They” didn’t want him to turn on his fellow criminals.,news
48,"OH. So if you try to imprison people you just get probation, This is why people are mad at the swamp!",news
49,"Who didn't see that coming? Our government agencies are so corrupt now, that they cover for each other.",news
50,Lie to the FBI and you go to jail for years. The FBI lies about stuff and gets probation. Two tiered justice.,news
51,"Who didn’t see this coming? Well, he was just a Patsy for the real evildoers, anyways.",news
52,This is the law of the land now. They just opened the door to spy on Americans to PERSECUTE them.,news
53,"While Democrat judge tried to put Michael Flynn in jail for years for ""lying "" .
How corrupt is our justice system!.",news
54,"And, let us not forget, a nice cushy job at a MSM station.",news
55,Our goverment never ceases to disappoint me.,news
56,"Thats a slap on the hand
 He should got jail.",news
57,I see no difference between the U.S. and a third world country.,news
58,"He asked to speak to his lawyer, his lawyer then spoke to the clintons and others and reminded them his client knows too much.... this is the result",news
59,"Double standard Democrats, everyone knew this was going to happen once President Trump left office",news
60,It would appear the word “Justice” should be stricken from our language as it no longer applies to our Country.,news
61,Why is this even considered news we all know the swamp has flooded the world,news
62,And they wonder why we no longer have any faith in the FBI,news
63,"This is crazy one year probation for this. Why isn’t Clinton, Osama, and the Biden family being charged?!?!",news
64,"Swamp monsters, especially the judges.",news
65,"He may even be given a Presidential citation by Biden.  Besides, don't ever expect to hear anything about Hunter's laptop.",news
66,"If this was one of us we would get 20 years in prison!

Double standard much?",news
67,I guess every American can commit treason and except the same results?,news
68,Are you kidding me?  This is outrageous!  I’m mad at myself that I’m surprised here.  Status quo for the new fake administration,news
69,He needs to do Public Service in Alaska feeding the Bears.,news
70,Wow.  And they want to lock people up. For sitting in pelosi Chair?,news
71,"“When God takes out the trash, don't go digging back through it. Trust Him.”...“The devil did not need to work at all when people were so willing to do his dirty work for him.”",news
72,We need some generals for Trump. Let's get the party started.,news
73,another slap in OUR FACE! probably still has his law license too.,news
74,"FBI Lawyer: A snitch is a snitch is a...
Judge: Try to behave, you are free to go!!!",news
75,"Well, at least he should pay back taxpayers for the Mueller investigation.",news
76,"American JUST-US, your not a member and will never be allowed in their club",news
77,I had to do community service for possession of marajuana paraphernalia.,news
78,Those (government officials) who knowingly promoted the Russia Hoax should have to pay that money back to Americans!,news
79,"We need a CCP china elections probe into Biden, Harris, pellosi, AOC and Schumer.",news
80,And a man got 10 years for memes.,news
81,"If it's okay for Joe to let kids play with his hairy legs
It's okay for the FBI to break the law..",news
82,"Im surprised they didn't set him free altogether,  there is no justice",news
83,THE GOVERNMENT WILL PAY FOR THIS!,news
84,De-Fund the FBI,news
85,"Our political system is so corrupt , especially democrats .",news
86,Now this is BS.   He needs jail,news
87,"Meanwhile; if you or I make a minor mistake on our taxes: we get 15 years in federal prison. 
Let that sink in...",news
88,The Deepstate protects all Deepstate members,news
89,HE SHOULD BE JAILED ALONG WITH THE ONES WHO GOT HIM TO DO THIS,news
90,"So , whats new !!  Comey should be in prison for lying to congress !!",news
91,I'm shocked I tell ya I never seen this happening 🙄,news
92,THE GOVERNMENT WILL PAY FOR THIS,news
93,Done on a Friday. That way the American public can forget about it by Monday. Brava!!,news
94,If one of us peasants did half of that we would be facing 15 to 20 years. BROKEN SYSTEM,news
95,People in positions like that should be automatically disbarred and jailed.,news
96,"Oh, just a small crime...nothing to see here! 🤬😳. Crooks everywhere!",news
97,I am surprised that Kevin wasn’t “given” Cabinet position in the Biden regime.,news
98,This is tragic! There is no justice now a day’s. We need to dismantle the FBI,news
99,It turns out FBI into a joke an absolute joke to the world,news
100,I can’t believe this is happening 🤦‍♀️,news
101,This judge needs to be gone. I wonder who appointed him?,news
102,"They're not even hiding it anymore... Its basically the big-boy version of you not being allowed to swear while your parents cursed like truckers.
They're literally telling you: ""We're going to excuse our own crimes, and there's nothing that you can do or are going to do about it.""",news
103,What would you expect. Swamp takes care of there own.,news
104,"If I broke the law like this guy I would have been locked away for years!!
These people should be held to a higher standard and their punishment more severe!!",news
105,This is all he gets for missing up a man's life he deserves a lot more than that,news
106,"Just as I predicted, he would get probation no fine and he would keep his law license. People said I was nuts, I guess I wasn't.",news
107,We know where all of this corruption is coming from. God has judged it just hasn't been manifested  🙏❤,news
108,Exactly as they planned. Untouchable and we'll protected. Thank you dirty judges.,news
109,"No jail time no fines
I wonder why?",news
110,We have now a 2-tier law and justice system.,news
111,"who will lead us out of this dark mess, God? or god's soldiers",news
112,Our govt is so corrupt...we need term limits for congress and federal judges! NOW,news
113,"Wow if that was any regular person they would of done 20 years, makes me sick",news
114,What justice? Corrupt government at its finest!,news
