,comment
86,I so love your videos! Your option explanation is classic! Cheers bro
87,Does anyone else follow the iced coffee hour on Instagram?
88,Can you make a video on when/why to sell? I always only see video on to buy buy buy but nothing to do with selling or sell some.
89,"Good video Graham as always. Thank you!. Be safe,"
90,"Can you recommend some other youtubers, who talk about finance, investing, who are as good as Graham. Just to see the situation through different points of view"
91,Can you do a review on Webull stock lending program ? We can lend stocks to short seller.
92,Fantastic explanation. It’s amazing how much psychology plays a huge role in buying and selling without really looking at the overall picture
93,also the extra 300 a week started today.
94,Very helpful! I should consider that in my next VIDS. 🤩
95,11:14 is actually inaccurate :)
96,"Graham, you always get me on the LIKE train with those callouts ;P"
97,"Woa, I smashed the like so hard it exploded"
98,graham: everyone please calm down so my investments don't tank
99,"@0:01, sounds like someone needs viagra. 🤔"
100,Please do a video on Startengine! They will be the first to launch a secondary platform to trade regulation CF and Reg A+ shares ~ That's huge......
101,Does Jack reply to the questions or does Graham?
102,Thanks Graham. Cant wait till I'm a 30 year old millionaire just like you💪
103,"Graham, thank you for keeping us educated.

Sincerely,
All Your Subscribers"
104,You already told us that in the news like Video at least most of it.
105,"Hey Graham Stephan, can you do a review on Garrett B. Gunderson like you did for Tai Lopez? I would love to see what you think."
106,The blow up edit was gold! I legit laughed out loud 😂
107,"Good video, keeping things into perspective.

One video suggested we buy land and grow potatoes in preparation for the Great Depression coming.
These doomsayers are getting out of hand to say the least."
108,"I bought Tsla Amzn And Aapl as swings today... By the way, Nice Watch!, Is that an Air King?"
109,You’re constantly waving your hands. A little distracting :)
110,"The question is, did Graham just manipulated the stock market with mass de-investment with 212K likes people?

The market dipped today"
111,"Enjoy the ride and have fun watching it! My favorite financial advise, thanks Graham!"
112,I like the dooms day video transition 😆 good stuff Graham 👍
113,355k views in 4 days! Keep killing it Graham.
114,"Hallo Graham, can you please, make subtitles in Russian. it will be very useful for those who do not know 100% English."
115,"2020 be like: ""It's not over yet""."
116,"Hey man, just changed my channel focus from Real Estate to Tech. Should I delete all my RE videos or just leave them?"
117,"Ok wait, I just wanna give a shoutout to that 80s happy music you inserted into this clip 😂😂😂"
118,"Hey Graham, your advice saved my marriage and I just posted a video about it! Let me know if you see it!"
119,i love graham but he doesnt know how the market works. were not going to tank its like 3k on SPX and more grinding up
120,This one was a great overview as always 🙌
121,Graham you are the best investment I've ever made 🤜
122,Just consistently invest in an index fund tracking the entire market and forget worrying about the ups and downs.
123,"I've made watching these videos part of my routine, even though I already know what Graham is going to say. Very grounding. I actually sold last week and bought back in this week, realizing a few grand of gain, even though that's the opposite of what Graham suggests. I was so glad tho, that I didn't forget the lessons, and bought back in this monday, tuesday and wednesday. Made it back in! Thanks, Graham, for giving me the confidence to dive right back in with full gusto."
124,Thank you. Excellent video!
125,It’s actually way more than $1 to lose when it’s below/above(depending on the call/put you have) on the option expiry day.
126,Graham will forever be the most effective YouTuber in getting me to press the like button
127,you're forgetting about elections this year
128,Can simon and joe please take a break from work and get some sleep...
129,When I heard SoftBank I had Okinawa flash back O_O
130,Hey graham you should do a video on/with Kris Krohn he is an amazing YouTube channel and has done more than a billion dollars worth of real estate
131,"By the end of the month, it will be up again."
132,Lmao RIP to all the WSB bros out there 😂
133,Thanks for explaining the call option sir.
134,"Buy apple stock, it's low, thank me later"
135,Love your videos but please chill with the click bait titles that don’t relate to what the video is actually saying.
136,I texted my robinhood buddy today that I’m convinced SoftBank stole my money... perfect timing... 😅
137,I never thought i would see the day Graham would talk about options. Its too tempting NOT to read wallstreetbets  😂
138,This channel is an ABSOLUTE game changer for me. Thanks Graham
139,what's a good investing platform?
140,"It's now just a waste of time watching the same old stuff with a new twist! No new ideas or twists! Disappointed, much!"
141,"I really appreciate the info, your slowly becoming my stock market and credit card teacher."
142,That might have been the most misleading explanation of options...
143,thank you for explaining options
144,"Ready for the dead cat bounce, let's go!"
145,Another excellent video about the market.  It’s amazing he you are able to make every video interesting even though in all these videos you are saying the same things.  And you make it look effortless too.  Bravo!
146,Nice job giving the kids a quick lesson on call options. I thought you were going to explain put options after that.
147,i just want to speak with the ceo of softbank.. in a room with no cameras... 🙂🙂🙂
148,I love you ur videos! I started personal finance podcast for teens
149,I thought call options don't have an impact on the stock value before completion of transaction? Was this a lie?
150,I didn't know Google could be... so adorably cute lol
151,Yep r/wallstreetsbet predicted this.
152,I sold something last month and I now have $2k for clearance/black Friday sale stock shopping. I'm ready for it!
153,"Wait, what image did he use for Google?"
154,"Heads up...I had to suffer thru about 6 ads watching this...I cut them all at ""skip ads""...the video is good though.."
155,just bought a ton of marriott stock this week.  once travel picks back up stock will recover nicely.
156,That was so brutal -10k :( Graham
157,I don't know who needs to hear this but stop saving money. Invest some of it if you want financial freedom
158,"Dammit, I hit like before the count down"
159,I bought the dip on Kodak.... but it just keeps dipping 😿
160,It seems like the video edited yesterday. But you were right and meaningful in many things . Market which is up today and will be down tomo
161,"It has to do with technical analysis pretty much, price reached the ceiling on rising parallel channel in a logarithmic chart."
162,"Also my theory is this: September is the worst month, also we are experiencing a pre-election uncertainty drop. After election, it's really going to go up, imho. Peace out"
163,I couldn’t like it the same time as the count down because it was already liked
164,"Bro, panic selling, blows my mind tbh. the price goes up every time a purchase is made, right? why are you not holding??"
165,Another great and insightful video! Really appreciate the time you take on all of these. 🙏
166,your channel has been such an asset to my life thank you graham!
167,Love these types of videos
168,🔥💪
169,"Good content, but way more frequent ads than any other channels on YouTube..."
170,"You should make a discord group, would join 10/10"
171,Dude every time the stock market does a pullback you make a video. It’s a healthy pullback we needed it. Trust me in a month or so it will be higher. Then a pullback again and then a video from you
172,"by the time this came out, market kinda popped up, lol"
173,"That countdown worked! I smashed it, is it a boy or a girl coudn't see the explosion.."
174,Graham that orange tho: wear more bright colors 👍
175,Is $4B really that much for a bunch of tech stock options?
176,Bro im gonna laugh hecka hard when the market crashes and see how u backpeddle ur way out of what u said in this vid 🤣
177,"I really remember you saying, ""Buy and Hold"""
178,Do you think it'll affect the LCA and golden nugget merger?
179,it is so interesting how this will continue and what it will lead to 😮 i am going to wait for Graham to make another video when this all goes one way or another 😃 love this video!
180,"reads title
oh great another video where Graham puts 50k in the S&P"
181,Love the vids. I just started investing a couple months ago. Nothing major. Just a couple hundred to start. I’ve shifted some stocks but looks like it might be time to put a lil more in the kitty 👍.  ✌️❤️
182,are you gonna make separate video about the tesla stock split?
183,Graham is the only youtuber that can make a video of him literally farting and will get a 95% of the people smash the like button
184,"Collapse? Hell yeah, buy more"
185,Better than expected!! Hahaha
186,I destroyed the like button before Graham blew up! Great video as always!
187,Hey Graham recently started watching your videos. Got to thinking how often do you invest. Example. Make sure rainy day fund is filled then wait till have an extra 1k/5k/10k or as little as $100?  Hope this makes a little sense to you.
188,Wow just checked the price of Tesla. Maybe it could be part of my portfolio when it settles... Doesn't look like a fun stock now. ARK is selling Tesla and Crispr
189,Still above pre-COVID ath
190,Thanks Graham!  You should do a collaboration video with Ralliroots about a side hustle for everyone to check out!  That would be awesome!
191,Hey graham ! Can u reply for this message 🙏
192,"""But Graham, I'm in the green. You are so wrong, I'm not watching your videos anymore""....lol.....not true, keep up the good work!"
193,Humble Trader has entered the chat
194,little substance my friend
195,Bull gang where y’all at
196,what do you mean no reason? the fed released statements
197,How many “stock market collapse” videos did you made so far? Like 5?
198,HOLD ON FOR DEAR LIFE TSLA AND AAPL HOLDERS 
199,"I hope it keeps goin down
I wanna buy innnnn😈"
