,comment
10,“What’s up Graham it’s guys you here” it was hard to focus on the vid after that intro LOLLL
11,"""The market can remain irrational longer than you can remain solvent."" I like that one."
12,when you don't even realize the stock market is crashing bc you've been losing money for weeks
13,"""What's up Graham it's guys you here""
-GRAHAM STEPHEN,2020"
14,"Retail investing in 2020: ""They mistook leverage for genius."" -- Steve Eisman"
15,Graham is like that friend trying to reassure me everything is okay. I’m okay 🙃
16,Commenting a couple days late so the YouTube algorithm realizes this video is still relevant!
17,“StOnKs OnLy Go Up”
18,Wallstreetbets has entered the chat
19,I'm a long term click and hold investor of Graham's Like button
20,Everything about to be on sale 😎
21,NKLA BagHolder has left the chat
22,"""what's up graham it's guys you here"" killed me"
23,“What’s up Grahams? Guys here?”. I’m paying attention! Lol.
24,Graham Stephen was the kinda kid that held the crayon in his whole hand
25,The beginning lowkey had me thinking my earbuds we're whack
26,Robinhood investors have to go back to school!😂🤣😂🤣😂
27,"No one:

Me during the first line: 👁👄👁"
28,i like how your version of crash is a 2% down on a full month...
29,"""What's up Graham it's guys you here"" 

First spending money now this"
30,I love it when he says “what’s up Graham’s”
31,"""What's up, Grahame!"" Hey."
32,Your intros are sometimes funny; like you’re testing who’s actually listening what you’re saying!  I have dyslexic moments myself too sometimes.
33,“What’s up Graham it’s guys you here.” 😂😂
34,I'm over here waiting on the housing bubble to burst
35,"""The Robinhood investors had to go back to school"". 🤣🤣😂That made my morning"
36,Let’s dress up as a like button from all social medias
