,comment
44,THIS IS SO INTRIGUING! I WANT TO KNOW WHAT HAPPENS!
45,this is the best video I have ever seen! LOL I love it!
46,The editing on this is literally AMAZING. 10 stars! ⭐️
47,Cant wait to see how this goes!
48,That monkey is managing a stock portfolio larger than my entire net worth.
49,He picked some good ones! Genius video idea. I'm sure it'll perform in line with the S&P500 or close.
50,"Wow ! This is how rich people spend the time when it’s bored?! Or this is the way they invest to be even richer ?!
We most buy that monkey first !!"
51,"Awesome tickle me excited, will be looking for updates. Really excited for the outcome, when i hear professionals and analysts and guru's spew there logic i always think about the monkey."
52,THIS IS AWESOME! Can't wait to see the results
53,"Avg person:
""i'll invest 100k in university""
millionare:
""i'll give 100k to a monkey"""
54,"Graham get you some IMPX its rumoured to merge with mclaren. 0 downside, yes 0, it's an spac at the floor"
55,"HE DID IT!
It's good to know that the stock market can go up and down, but Graham never lies!"
56,Is it just me or do yall hear an x song in the background
57,"Was not expecting this, but I was not disappointed"
58,"In 1 year: Graham makes 50K on his investment

Jack: Asks monkey to teach him options trading 😂"
59,"damn, 100K ? that's like three times of my lifesaving. wish i can toss it out like its some pocket change :("
60,This video makes me wonder why I am paying such high expense ratios for an actively managed fund when a monkey can do the same job if not better. KEKW
61,This actually has a  very solid chance at beating the SP.  Great job Boo!
62,"Yeah, you finally mentioned M1Finance haha"
63,"Holy $h!t graham! This is probably your greatest video to date. It had everything. Money, a monkey, a tier list, and TESLA all wrapped into a relevant video lol nice"
64,"Hey Graham, can you do a video talking about the Chase Trifecta?? I’ve been seeing a lot of videos about it and I want to know what you think about it."
65,Thumbnail reminds me of a Biaheza thumbnail :o
66,damn this editing was epic
67,"Graham: starbuck is a waste of money.
Also Graham: Just took a shot in the dark with 100k!

Jk, I see you are expanding........"
68,"Graham this is the content we need! Well done my friend, well done. Like button smashed itself"
69,"Graham, we need you to make a video on your top choices for mutual funds so we can compare against your top choices for index funds."
70,Glad m1finance finally gets another shout-out like this in a while 😊👍🏽 great platform
71,ooo oooo ohhhh ahh ahh ahhhhh!!! pounds chest
72,"Ugh! I spent this whole video thinking it was recorded in 2019 and that we were about to get the results! Oh well, curious how the little monkey does."
73,0:29 “Malkiel was wrong”
74,"This is awesome! I chuckled when I first read about the stock picking monkey in the book, but didn’t think I’d see it in action!"
75,Big Biaheza a vibes from this one. Now I want to see Biaheza reacting to millennial money 😁
76,Next year: “A Monkey doubled my money in one year!”
77,I think this is the most excited I’ve ever been for an update!! Literally can’t wait!! Team monkey haha
78,"This could have been a viral video if u included the end results aswell, looking forward following the journey tho!"
79,Thanks Graham Stephan for the recommendation i have have received my payment and my Xmas bonus.
80,Graham. This was fckin awesome. I loved the style of this video. Please do more like this
81,Monkey picked Tesla this is a sign it’s going to double again.
82,I love M1. you and Andre got me started in investing using M1.. it has been a great year for me as far as investing goes.
83,You know you've made it when the views from your video will more than make up for any losses the money actually makes.
84,"Amazing idea. I know
You’re worried that the views arnt don’t the best on this one yet but I honestly loved it. Can’t wait to watch a monkey beat the stock market!!"
85,Make a video on the update on your gains every month. yOuTuBe Ad mOnEy!!
86,This is epic (DBX and ARKK) TO THE MOON
87,This is actually how I pick my stocks except I use my cat.  It's worked out well so far!
88,Great editing on this vid
89,"Such a great video, I want this on trending 👀"
90,Monkey: “ Blow me a kiss for picking Tesla.”
91,Will you consider the revenue from youtube when evaluating the Monkey stock picking strategy. Interesting if it will payoff before and or after youtube.
92,Signed up to Webull for my two free stocks and downloaded the app. Anyone know how I actually get me free stocks?
93,"Hey graham, would love to see you react to GQ’s “How Austin Ekeler Spent His First Million in the NFL” if you really liked Tua, I know you’d love this guy!"
94,Been using M1 for almost a year been very happy with it
95,how would that 100k (and any changes to your account) count towards taxes since it is technically a business expense?
96,"jajaja great video Graham!!! loved it, keep up all the good work!"
97,"if you do an update video how things are going, you can call it ""monkey news"""
98,Blackrock is one of my favorite stocks.
99,"this is a great experiment Graham, I am rooting for this portfolio because it gives us amateur Investors a positive light."
100,"Let’s be honest, we didn’t ask for this but we loved it😂"
101,Honestly i wish you put in more lol. Got some nice picks there.
102,You're gonna easily finance it with at least 12 videos the upcoming year :P
103,"Out of 1,000 you got TSLA and NFLX, wow! I'm curious how this strategy will turn out."
104,Merry Christmas! Looking forward to seeing the updates on how these do!
105,"i love it, that is such an awesome project lol. i will certainly be looking forward to seeing the results of this"
106,Can't wait for the update!
107,"I’m emotionally invested in the monkey portfolio, what’s the update schedule for it gonna be like?"
108,"I HIGHLY recommend Graham's how to make YouTube videos program.  I bought it and LOVE it. (No, he didn't pay me to say this.)"
109,"My stock picking monkey is my cat. What ever stock her paws hit, I bought."
110,"Cool video, I’ll be watching 😂. 
I dunno about the tier system - picking based solely on growth potential? Any financials looked at or anything? You gotta buy them anyway so I suppose it doesn’t matter 😂"
111,You're great Stephen! I mean it. Absolutely stunning idea and awesomely crafted episode. Kudos to you Graham
112,"Graham : Be wise with yor money!
Also Graham  : gives it to MONKE"
113,"Graham, you should really do a video on the fact that Dave Ramsey publicly said on his radio show that he believes that Bitcoin can’t actually be cashed out for US dollars.  I have heard him give bad advice, but this is just insane."
114,Everyone smash the like button for Graham's Christmas gift and let's get this guy some watch time!!
115,LOL this is gonna be great. Hoping for the triple return of investment 🙏 🙌
116,I actually want to know how this will end
117,So dreams do come true! Am so fired up for this 😁
118,"No doubt this is creative and brilliant way in proving your point, love it. My takeaway on this video is just start investing even when you feel new or know nothing about investing. You’ll learn along the way. ❤️"
119,This is like someone doing DD on Wallstreet bets.
