,Unnamed: 0,comment,label
10,10,"Wow I’m 23 and am so glad i came across this , really cleared some of the confusion i had about it . Getting ready to invest in my first stock soon w my first $100 from work, wish me luck",finance
11,11,You’re literally the only YouTuber from which I take those “smash the like button” words and they don’t annoy me but I actually pause the video and smash the like button!,finance
12,12,"Graham was so good as a real estate agent, he sold himself the house.",finance
13,13,"Been following you for about 3 years and really trying to learn as much as I can. You're a real inspiration and your approach to personal finance has helped me achieve a lot. I've just gotten approved by the bank to buy a 350.000$ apartment with a 20% down payment at the age of 19, and I'm so excited to start my real estate journey. Hope to become as successful as you one day! Merry Christmas",finance
14,14,"Most impressed by your $200k saving as a 20 year old and the ability to not blow the lot on a lambo! Well done, sir!",finance
15,15,20:04 for everything other than properties.,finance
16,16,Major props for not increasing those peoples rent after 8 years. That's huge.,finance
17,17,“Hey mom... I’m dropping out of high school to be like graham”,finance
18,18,his green shirt that he wears is from target and is like 15 bucks,finance
19,19,"Graham: I keep 2 million in a CD with 1.75% to keep inflation away
Inflation: Am I a joke to you? I am 10% inflation",finance
20,20,"Graham: ""Don't go absolutely crazy on the like button.""
Me: ""Too late...""",finance
21,21,"In next video please say ""what's up you girls, it's Graham here"" :P",finance
22,22,"Elon Musk's emergence as world richest man should be a  motivation to people on YouTube that are starting out that anything is possible. You will need to take major risks and invest TIME into whatever you may wanna do.  Good luck to everyone trying to get ahead in life, wish you guys nothing but the best.",finance
23,23,"like button exists 
Graham: ""is for me?""",finance
24,24,"Graham 2019: I would do less riskier investments in the coming year
Also Graham 2020: Becomes an a Angel Investor",finance
25,25,"damn my man only earns 250k per month, this was like my dream per year in like 30 years lmfao",finance
26,26,WATCH WITHOUT SOUND. CHECK THE MANNERISMS. IT'S A MASTER CLASS ON TEACHING HOW TO KEEP PEOPLE'S INTEREST.,finance
27,27,Wholy f*ck man. That’s impressive. Thanks for the insight.,finance
28,28,"Next video on "" How you almost got bald and got your hairs back "" .",finance
29,29,"Well I always advise you do a background check up on your source before investing, Ensure You are investing through a solid foundation source to avoid losing hard earned money",finance
30,30,It’s impossible to watch these videos without absolutely destroying the like button.,finance
31,31,"This video just explained the real secret of building wealth, which is investing in multiple income streams.👌",finance
32,32,Can i invest aside real estate investment,finance
33,33,"You’ve doubled your wealth through one of the most volatile years in living memory - that’s awesome man and a reminder to anyone that there’s always opportunity, no matter how negative the news is! 💥💥💥",finance
34,34,I just watched your 6 million one the other day. Amazing you doubled in a year!,finance
35,35,"Haven't watched a Graham Stephen video in a while, and I really enjoyed this one.",finance
36,36,I'm looking forward to the update in a few years when they include more details about the angel investments.  You've done an amazing job and.sharing your knowledge is helping so many people. Like button smashed!,finance
37,37,Let me ask: do you have property managers for your properties or are you just really careful with choosing tenants?,finance
38,38,I jumped out of my seat when he threw that fog horn sound effect in there!,finance
39,39,This video was SO helpful. This has inspired me to set a 2021 goal to hit my first million 🤔,finance
40,40,"Graham:  20 cents is too much for iced coffee.
Also Graham: If I invest in a coffee business, my iced coffee will pay me.
Me:  Brilliant!!!!",finance
41,41,"Looks like you have had alot of luck. ""Being at the right place at right time""",finance
